,0,1,2,0_syllables,1_syllables,2_syllables,label
17727,the hand that touches mine,from tree to tree,the path of wind,6,4,4,wind
17728,wind turbines,grind the sunset,summer's end,3,4,3,wind
17728,wind turbines,grind the sunset,summer's end,3,4,3,sunset
17728,wind turbines,grind the sunset,summer's end,3,4,3,summer
17728,wind turbines,grind the sunset,summer's end,3,4,3,end
17731,indian summer,a black bear grazes,the shriveled berries,5,5,5,summer
17735,hydrangea,over tea mulling the idea,of utopia,4,9,5,tea
17736,rain forecast,spittlebugs at the nodes,in meadow grass,3,6,4,rain
17736,rain forecast,spittlebugs at the nodes,in meadow grass,3,6,4,grass
17738,windless day,one ripe tomato drops,from the vine,3,6,3,day
17739,brilliant moon,sharp shadows of lemons,on the stone steps,3,6,4,moon
17742,home for christmas,the tree losing needles,on fake snow,4,6,3,home
17742,home for christmas,the tree losing needles,on fake snow,4,6,3,tree
17742,home for christmas,the tree losing needles,on fake snow,4,6,3,snow
17743,as i turn the page,napoleon leaves moscow,fading winter light,5,6,5,winter
17743,as i turn the page,napoleon leaves moscow,fading winter light,5,6,5,light
17743,as i turn the page,napoleon leaves moscow,fading winter light,5,7,5,winter
17743,as i turn the page,napoleon leaves moscow,fading winter light,5,7,5,light
17744,year's first moon,the widow turns,her mattress,3,4,3,year
17744,year's first moon,the widow turns,her mattress,3,4,3,moon
17746,"finally, good news",the reflection of my face,inside a tea bubble,5,7,6,tea
17748,snowy night,drinking tea,from my hometown,3,3,4,night
17748,snowy night,drinking tea,from my hometown,3,3,4,tea
17749,over old ground . . .,a dunnock's search,in winter shrubs,4,4,4,winter
17751,spring peepers,raindrops stipple the creek,in chorus,3,6,3,spring
17751,spring peepers,raindrops stipple the creek,in chorus,4,6,3,spring
17754,village in the mountains . . .,a stray dog becomes,our trek guide,6,5,3,dog
17754,village in the mountains . . .,a stray dog becomes,our trek guide,6,5,4,dog
17755,baptism song,a turtle slips,into the river,4,4,5,song
17755,baptism song,a turtle slips,into the river,4,4,5,river
17760,pool filter,a child's collection,of dandelion wishes,3,5,7,child
17761,beach cottage,the musty smell,of old novels,3,4,4,smell
17764,the bus is late . . .,across the twilight river,the wheeling starlings,4,7,5,river
17765,another morning,of mares tails,the wisp of a sigh,5,3,5,morning
17767,indian summer,the soccer net ripples,with a goal,5,6,3,summer
17769,change of seasons,i catch myself talking,to the wind,4,6,3,wind
17770,waiting room,someone whispers,?be morning soon?,3,4,3,morning
17771,an inchworm,grasping thin air,christmas morning,3,4,4,morning
17772,the old moon,everyone else,i?ve outlived,3,4,3,moon
17773,back to school,unlearning,the whole summer,3,3,4,summer
17776,manna gumtrees,the sugar glider's belly,before the moon,4,7,4,moon
17779,a berry's curve,in a crow's beak,harvest moon,4,4,3,moon
17780,autumn sky,the paint worn thin,around the birdhouse door,3,4,6,autumn
17780,autumn sky,the paint worn thin,around the birdhouse door,3,4,6,sky
17790,cold overnight,no way of knowing,where the loon will surface,4,5,6,way
17791,the night's crickets,never silent,never seen,4,4,3,night
17793,afternoon tea,my mother,speaks her history,4,3,4,afternoon
17793,afternoon tea,my mother,speaks her history,4,3,4,tea
17793,afternoon tea,my mother,speaks her history,4,3,4,mother
17793,afternoon tea,my mother,speaks her history,4,3,5,afternoon
17793,afternoon tea,my mother,speaks her history,4,3,5,tea
17793,afternoon tea,my mother,speaks her history,4,3,5,mother
17797,summer commute,again a truckload,of crushed cars,4,5,3,summer
17811,remembering . . .,a maya's feather,in dawn light,3,5,3,dawn
17811,remembering . . .,a maya's feather,in dawn light,3,5,3,light
17811,remembering . . .,a maya's feather,in dawn light,4,5,3,dawn
17811,remembering . . .,a maya's feather,in dawn light,4,5,3,light
17812,the almost,of crabapple buds,hazy sky,3,5,3,sky
17814,incense for remembrance,water trickles down,the mountain side,6,5,4,water
17815,matching exhales,with the sleeping dog . . .,bone coloured mist,4,5,4,dog
17815,matching exhales,with the sleeping dog . . .,bone coloured mist,4,5,4,mist
17820,easter fog lifting,a blowfly rises,from roadkill,5,5,3,fog
17824,shortest day of the year,a peculiar voice,from each appliance,6,5,5,day
17824,shortest day of the year,a peculiar voice,from each appliance,6,5,5,year
17825,her last words,snow falling,on beech leaves,3,3,3,snow
17827,morning moon,a peregrine,begins its dive,3,4,4,morning
17827,morning moon,a peregrine,begins its dive,3,4,4,moon
17830,wings of grass,what remains,of her snow angel,3,3,5,grass
17831,streaming towards,the winter sunset,crematorium smoke,3,5,6,winter
17831,streaming towards,the winter sunset,crematorium smoke,3,5,6,sunset
17831,streaming towards,the winter sunset,crematorium smoke,4,5,6,winter
17831,streaming towards,the winter sunset,crematorium smoke,4,5,6,sunset
17832,closing time,winter dusk slides down,the book drop,3,5,3,time
17832,closing time,winter dusk slides down,the book drop,3,5,3,winter
17832,closing time,winter dusk slides down,the book drop,3,5,3,dusk
17837,the last light,in the hollers,of children,3,4,3,light
17842,overcast morning . . .,a yellow warbler,tests each branch,5,5,3,morning
17847,the marigold,in a plastic cup,mother's day,4,5,3,mother
17847,the marigold,in a plastic cup,mother's day,4,5,3,day
17849,last day of school . . .,paper butterflies,unpinned from the board,4,5,5,day
17850,skinnydipping,river current streamlining,my body,4,6,3,river
17850,skinnydipping,river current streamlining,my body,4,7,3,river
17852,the faint shine,of camellia buds . . .,winter moon,3,5,3,winter
17852,the faint shine,of camellia buds . . .,winter moon,3,5,3,moon
17857,sunny wall,the marks of time,on my skin,3,4,3,time
17859,spring rain,my garden,still in packets,3,3,4,spring
17859,spring rain,my garden,still in packets,3,3,4,rain
17859,spring rain,my garden,still in packets,3,3,4,garden
17863,my son's birthday,a red poinsettia leaf,flutters to the ground,4,7,5,leaf
17864,clear cold night,my dog barks,at his own echo,3,3,5,night
17864,clear cold night,my dog barks,at his own echo,3,3,5,dog
17865,restless night,the threadbare edge,of her quilt,3,4,3,night
17866,winter blues,the harmonica man plays,for wall street,3,7,3,winter
17867,moldering leaves,the wind blows me,deeper into winter,4,4,6,wind
17867,moldering leaves,the wind blows me,deeper into winter,4,4,6,winter
17868,winter sunlight,the birdsong that lingers,in evergreens,4,6,4,winter
17872,without you is better,oak leaves rattle,against the moon,6,4,4,moon
17873,driving to the airport,the smell of dog,lingers on my hand,6,4,5,smell
17873,driving to the airport,the smell of dog,lingers on my hand,6,4,5,dog
17875,a sales call,my only conversation,autumn loneliness,3,7,5,autumn
17876,father asks,if it's time to go,cricket song,3,5,3,time
17876,father asks,if it's time to go,cricket song,3,5,3,song
17879,death anniversary,prayer flags drip,in the rain,6,3,3,rain
17879,death anniversary,prayer flags drip,in the rain,6,4,3,rain
17882,sound of rain,the faded e? on,the internet caf? keyboard,3,5,7,sound
17882,sound of rain,the faded e? on,the internet caf? keyboard,3,5,7,rain
17892,summer opera,her fan stops fluttering,during the main aria,4,6,7,summer
17893,creak of floorboards,the musty shop smell,of ancient redwoods,4,5,5,smell
17894,the drought year,written in flies,on the river-bed,3,4,4,year
17896,my 73rd summer,the shadows,of butterflies,7,3,4,summer
17900,deserted street,the hot wind rolling,an empty can,4,5,4,wind
17901,morning mist,the squirrel,swaps poplars,3,3,3,morning
17901,morning mist,the squirrel,swaps poplars,3,3,3,mist
17902,spring rain,the cleaner everyone likes,comes to say goodbye,3,7,5,spring
17902,spring rain,the cleaner everyone likes,comes to say goodbye,3,7,5,rain
17903,pink dianthus,two parasols bend,to the scent,4,5,3,scent
17905,mango season,married long enough,to eat in silence,4,5,5,silence
17907,rush hour,the smell of green onions,on the cross-town bus,3,6,4,smell
17912,slow train home,a man skims ecclesiastes,on his kindle,3,7,4,home
17914,it must?ve happened before,a drop of spring rain,in my green tea,6,5,4,spring
17914,it must?ve happened before,a drop of spring rain,in my green tea,6,5,4,rain
17914,it must?ve happened before,a drop of spring rain,in my green tea,6,5,4,tea
17914,it must?ve happened before,a drop of spring rain,in my green tea,6,6,4,spring
17914,it must?ve happened before,a drop of spring rain,in my green tea,6,6,4,rain
17914,it must?ve happened before,a drop of spring rain,in my green tea,6,6,4,tea
17916,perennial . . .,the garden,i dream of,4,3,3,garden
17919,so lightly,a morning rainbow disappears,in the rice paddy,3,8,5,morning
17921,a crow cleans its beak,on an ice-covered bough,early morning sun,5,4,5,morning
17921,a crow cleans its beak,on an ice-covered bough,early morning sun,5,4,5,sun
17922,her illness,beyond our care,winter birds,3,4,3,winter
17922,her illness,beyond our care,winter birds,3,5,3,winter
17925,a nursing home blanket,over all her sharp edges,midwinter,6,7,3,home
17927,deep winter,a seal skin tacked,to my neighbor's door,3,4,5,winter
17931,she salts the soup,without even tasting,autumn sky,4,6,3,autumn
17931,she salts the soup,without even tasting,autumn sky,4,6,3,sky
17932,sculpture garden,the way the blackbird sings,from the metal tree,4,6,5,garden
17932,sculpture garden,the way the blackbird sings,from the metal tree,4,6,5,way
17932,sculpture garden,the way the blackbird sings,from the metal tree,4,6,5,tree
17933,winter solstice,cranberries popping,in the saucepan,4,5,4,winter
17934,new year's eve,the lights of crab boats,evenly spaced,3,5,4,year
17935,the uncarved faces,in the pumpkin fields,diagnosis day,5,5,5,day
17936,autumn mist . . .,the homeland i know,only in dreams,3,5,4,autumn
17936,autumn mist . . .,the homeland i know,only in dreams,3,5,4,mist
17939,each of us,with a story to tell,winter stars,3,6,3,winter
17939,each of us,with a story to tell,winter stars,4,6,3,winter
17940,summer ends,the wallah takes down,the raincoat array,3,5,5,summer
17945,autumn twilight,the boarded up window,of the tree house,4,6,4,autumn
17945,autumn twilight,the boarded up window,of the tree house,4,6,4,window
17945,autumn twilight,the boarded up window,of the tree house,4,6,4,tree
17945,autumn twilight,the boarded up window,of the tree house,4,6,4,house
17946,melancholy,runs in the family,sparrow song,4,5,3,song
17946,melancholy,runs in the family,sparrow song,4,6,3,song
17948,sunset clouds,the decoy's touch-ups,in a different hue,3,4,5,sunset
17948,sunset clouds,the decoy's touch-ups,in a different hue,3,4,6,sunset
17953,approaching rain,the smell of sauerkraut,lingers on the stairs,4,6,5,rain
17953,approaching rain,the smell of sauerkraut,lingers on the stairs,4,6,5,smell
17954,cyclone warning,the cracked red paint,glistens with rain,4,4,4,rain
17955,spring day,the cord zings back,into the vacuum,3,4,5,spring
17955,spring day,the cord zings back,into the vacuum,3,4,5,day
17957,butterfly,lingering on the breeze,her first kiss,3,5,3,breeze
17957,butterfly,lingering on the breeze,her first kiss,3,6,3,breeze
17958,village road . . .,the jingle of bullock carts,in the mist,3,7,3,mist
17959,spring day,announcement said,no flowers,3,4,3,spring
17959,spring day,announcement said,no flowers,3,4,3,day
17964,easter morning . . .,three silos,on the horizon,4,3,5,morning
17967,age 88,all the whatchamacallits,in the spring wind,4,7,4,spring
17967,age 88,all the whatchamacallits,in the spring wind,4,7,4,wind
17967,age 88,all the whatchamacallits,in the spring wind,4,7,5,spring
17967,age 88,all the whatchamacallits,in the spring wind,4,7,5,wind
17968,third day of snow,neighborhood kids build,a rhinoceros,4,5,5,day
17968,third day of snow,neighborhood kids build,a rhinoceros,4,5,5,snow
17969,winter morning,two butterflies,warm the garden,4,4,4,winter
17969,winter morning,two butterflies,warm the garden,4,4,4,morning
17969,winter morning,two butterflies,warm the garden,4,4,4,garden
17970,narcissus . . .,my heartbeat races,towards its end,3,5,3,end
17970,narcissus . . .,my heartbeat races,towards its end,3,5,4,end
17972,new minister . . .,gutters guide a spring rain,back to the earth,4,6,4,spring
17972,new minister . . .,gutters guide a spring rain,back to the earth,4,6,4,rain
17972,new minister . . .,gutters guide a spring rain,back to the earth,4,7,4,spring
17972,new minister . . .,gutters guide a spring rain,back to the earth,4,7,4,rain
17974,miles of silence,a chill on my thigh,when he changes gears,4,5,5,silence
17974,miles of silence,a chill on my thigh,when he changes gears,5,5,5,silence
17976,snowdrops surround,an empty snail shell,pale day moon,4,5,3,day
17976,snowdrops surround,an empty snail shell,pale day moon,4,5,3,moon
17979,hunter's moon,the gator's eyes,hold the light,3,4,3,moon
17979,hunter's moon,the gator's eyes,hold the light,3,4,3,light
17981,cloud dragon,eating its own tail,epiphany day,3,5,5,day
17985,winter solstice,reading glasses,to see myself,4,4,4,winter
17986,winter pear,my breath condenses,on the knife,3,5,3,winter
17987,autumn trees . . .,getting her to,do the talking,3,4,4,autumn
17988,end of harvest,pulling out the leaves,of the table,4,5,4,end
17990,autumn sun,"map in hand, i search",for my grave site,3,5,4,autumn
17990,autumn sun,"map in hand, i search",for my grave site,3,5,4,sun
17993,remnants of daylight,the wind rattles,with old mustard,5,4,4,wind
18000,harvest moon,the circus disassembles,pole by pole,3,7,3,moon
18001,first day of school,my son brings home,his peach stone,4,4,3,day
18001,first day of school,my son brings home,his peach stone,4,4,3,home
18002,summer stars,my children ask me,to name a favorite,3,5,5,summer
18002,summer stars,my children ask me,to name a favorite,3,5,6,summer
18004,urban sprawl,a huddle of hard hats,and a dead tree,3,6,4,tree
18008,i check once again,for any missed calls,intermittent rain,5,5,5,rain
18009,crewelwork,the musty scent,of geraniums,3,4,5,scent
18011,august rain,the one bitter almond,in a whole bag,3,6,4,rain
18013,attic light,dust rising from the dark,in the magic hat,3,6,5,light
18015,dentist's window,birds picking out,the sunflower seeds,4,4,5,window
18017,the snow melted,fences reappear,between neighbors,4,5,4,snow
18019,spring morning,doing something new,with pink scarves,3,5,3,spring
18019,spring morning,doing something new,with pink scarves,3,5,3,morning
18019,spring morning,doing something new,with pink scarves,4,5,3,spring
18019,spring morning,doing something new,with pink scarves,4,5,3,morning
18020,straggles of mist,ancestors evaporating,in a highland dawn,4,8,5,mist
18020,straggles of mist,ancestors evaporating,in a highland dawn,4,8,5,dawn
18021,all that stirs,in the river's womb,spring rain,3,5,3,river
18021,all that stirs,in the river's womb,spring rain,3,5,3,spring
18021,all that stirs,in the river's womb,spring rain,3,5,3,rain
18023,spring shadows,new razor,for the teenaged son,3,3,5,spring
18023,spring shadows,new razor,for the teenaged son,4,3,5,spring
18025,resurrection sky,mother somewhere between,here and there,5,6,3,sky
18025,resurrection sky,mother somewhere between,here and there,5,6,3,mother
18026,one year on . . .,a black-faced sheep,grazes the regrowth,3,3,5,year
18027,winter shadows,adding water to the last,of the soup,4,7,3,winter
18027,winter shadows,adding water to the last,of the soup,4,7,3,water
18028,snow beginning to drift,my mother shares memories,she never had,6,7,4,mother
18029,midwinter night,between the swells,beyond the surf,4,4,4,night
18030,meandering,along the ice cracks . . .,a midnight moon,4,5,4,moon
18032,winter roses,father shows us photographs,he no longer sees,4,8,5,winter
18032,winter roses,father shows us photographs,he no longer sees,4,7,5,winter
18033,deep winter,how often we opened,windows to persimmons,3,6,6,winter
18035,winter stillness,turkey tracks frozen,in the ice,4,5,3,winter
18038,gifts from my mother,unwrapping them,with their shadows,5,4,4,mother
18039,sipping tea . . .,pine needles brush,my window,3,4,3,tea
18039,sipping tea . . .,pine needles brush,my window,3,4,3,window
18040,left soaking,in dishwater,the long night moon,3,4,4,night
18040,left soaking,in dishwater,the long night moon,3,4,4,moon
18043,"no season word,",yet autumn pervades,her suicide note,4,5,5,autumn
18046,new year's eve,the harpist's fingers,glide toward midnight,3,5,4,year
18046,new year's eve,the harpist's fingers,glide toward midnight,3,5,5,year
18047,autumn begins . . .,the crack of an acorn,beneath my shoe,4,6,4,autumn
18048,the morning moon,accompanying me,to my new job,4,6,4,morning
18048,the morning moon,accompanying me,to my new job,4,6,4,moon
18051,prairie sky,the trucker secures,a wide load,3,5,3,sky
18052,a fossil fish,in a box of beach sand . . .,first day of school,4,6,4,day
18054,dad's yahrzeit,a white moth,clings to my window,3,3,5,window
18056,indian summer,the distance,between roses,5,3,4,summer
18058,first men on the moon,the first time i tasted,rattlesnake,5,6,3,moon
18058,first men on the moon,the first time i tasted,rattlesnake,5,6,3,time
18065,hiroshima day,a giant peony blooms,in my dream,5,7,3,day
18066,moonless night,i close my eyes,and disappear,3,4,4,night
18067,early morning silence . . .,soon enough,everything,6,3,3,morning
18067,early morning silence . . .,soon enough,everything,6,3,3,silence
18071,for a moment,your shadow,is my shadow,4,3,4,shadow
18071,for a moment,your shadow,is my shadow,4,3,4,shadow
18077,afternoon tea,each ant takes away,a granule of light,4,5,5,afternoon
18077,afternoon tea,each ant takes away,a granule of light,4,5,5,tea
18077,afternoon tea,each ant takes away,a granule of light,4,5,5,light
18078,along the roadside,dixie cups,of summer wind . . .,5,3,4,summer
18078,along the roadside,dixie cups,of summer wind . . .,5,3,4,wind
18079,fording the river,the moment closest,to neither bank,5,5,4,river
18082,heat lightning,the fly moves below,my ankle bone,3,5,4,heat
18086,midnight dusk,the blur of moths,around a buddleia,3,4,6,dusk
18088,a drop of pond,at the end of a beak,setting sun,4,6,3,end
18088,a drop of pond,at the end of a beak,setting sun,4,6,3,sun
18090,new year's eve,an invitation,to be japanese,3,5,5,year
18093,crashing waves,mother darns a sock,by candlelight,3,5,4,mother
18094,a slight tinkling,in the dishwasher,winter evening,4,5,4,winter
18094,a slight tinkling,in the dishwasher,winter evening,4,5,4,evening
18094,a slight tinkling,in the dishwasher,winter evening,5,5,4,winter
18094,a slight tinkling,in the dishwasher,winter evening,5,5,4,evening
18096,frozen moon,a red pagoda,in the fishbowl world,3,5,5,moon
18097,saffron dawn,a leafless tree,live with birdsong,3,4,4,dawn
18097,saffron dawn,a leafless tree,live with birdsong,3,4,4,tree
18099,snow before dark,the field bundled,into bales,4,4,3,snow
18101,almost winter,the spider,makes a repair,4,3,4,winter
18103,evening walk,the deer must,know me by now,3,3,4,evening
18104,plymouth rock,generations of boaters,debating the moon,3,7,5,moon
18105,condo skeleton,the hunter's moon moves,to the penthouse floor,5,5,5,moon
18106,winter solstice,every windshield,transports a sun,4,4,4,winter
18106,winter solstice,every windshield,transports a sun,4,4,4,sun
18106,winter solstice,every windshield,transports a sun,4,5,4,winter
18106,winter solstice,every windshield,transports a sun,4,5,4,sun
18108,end of summer,our daughter's vacation,gets shorter each year,4,6,5,end
18108,end of summer,our daughter's vacation,gets shorter each year,4,6,5,summer
18108,end of summer,our daughter's vacation,gets shorter each year,4,6,5,year
18108,end of summer,our daughter's vacation,gets shorter each year,4,7,5,end
18108,end of summer,our daughter's vacation,gets shorter each year,4,7,5,summer
18108,end of summer,our daughter's vacation,gets shorter each year,4,7,5,year
18110,labor day,a crown of mushrooms,on the compost pile,3,5,5,day
18113,harvest time . . .,the doubts that leave,the doubts that remain,3,4,5,time
18116,kitchen conversation,we allow the dusk,to linger awhile,6,5,5,dusk
18117,midnight moon,dark stalks of spanish dagger,pierce the snow,3,7,3,moon
18117,midnight moon,dark stalks of spanish dagger,pierce the snow,3,7,3,snow
18119,bleak morning,her footprints,filled with rain,3,3,3,morning
18119,bleak morning,her footprints,filled with rain,3,3,3,rain
18121,sun clears the ridge,a finch's gold,flickers in the woodpile,4,4,6,sun
18122,eggshell fragments,what i know of the mother,i?ve never known,4,7,4,mother
18125,bathed in sunlight,the day roost,of the rufous owl,4,3,5,day
18127,winter solitude,a potato,begins to sprout,5,4,4,winter
18129,clear and cold,the home health nurse,late again,3,4,3,home
18130,on the ride home,river ice breaking,our silence,4,5,3,home
18130,on the ride home,river ice breaking,our silence,4,5,3,river
18130,on the ride home,river ice breaking,our silence,4,5,3,silence
18130,on the ride home,river ice breaking,our silence,4,5,4,home
18130,on the ride home,river ice breaking,our silence,4,5,4,river
18130,on the ride home,river ice breaking,our silence,4,5,4,silence
18131,feeble light,the slow melting,of eucharist,3,4,4,light
18138,winter solstice,her first kiss,since the divorce,4,3,4,winter
18139,winter solstice,halo of a candle flame,behind a drawn shade,4,7,5,winter
18140,new year's eve,leftovers warming,in the pot,3,5,3,year
18142,festival of lights,the old dog,begging biscuits,5,3,4,dog
18143,my tea cup,still too hot to hold,the shortest day,3,5,4,tea
18143,my tea cup,still too hot to hold,the shortest day,3,5,4,day
18144,last day of the year,red plastic roses,fading in the shop window,5,5,7,day
18144,last day of the year,red plastic roses,fading in the shop window,5,5,7,year
18144,last day of the year,red plastic roses,fading in the shop window,5,5,7,window
18151,thanksgiving,we have the wind chill,to talk about,3,5,4,wind
18161,indian summer,a kid drags his backpack,in the dust,5,6,3,summer
18163,down the street,and back again,october wind,3,4,4,wind
18165,ochre moon,the road-train's light,in the kangaroo's eyes,3,3,6,moon
18165,ochre moon,the road-train's light,in the kangaroo's eyes,3,3,6,light
18166,readying for bed,i open the shade,and let in the moon,5,5,5,moon
18171,autumn light,the cantor sings,a sinner's prayer,3,4,4,autumn
18171,autumn light,the cantor sings,a sinner's prayer,3,4,4,light
18171,autumn light,the cantor sings,a sinner's prayer,3,4,5,autumn
18171,autumn light,the cantor sings,a sinner's prayer,3,4,5,light
18172,almost a moon,the weight of the glass,as it empties,4,5,4,moon
18173,my sister's side,of our childhood,moonlit night,4,4,3,night
18173,my sister's side,of our childhood,moonlit night,4,5,3,night
18174,early autumn,the old priest,trembling with tolls,4,3,4,autumn
18174,early autumn,the old priest,trembling with tolls,4,3,5,autumn
18177,heat lightning,christmas beetles,spangle the fly screen,3,4,5,heat
18178,yet again,by the river,a pair of knickers,3,4,5,river
18180,bamboo bending,in the wind,i bargain for mangos,4,3,6,wind
18182,village festival,the last firework,joins the moon,5,4,3,moon
18183,aftershock,a tremor lingers,in the dog,3,5,3,dog
18184,waning summer moon,mom and i,compare hands,5,3,3,summer
18184,waning summer moon,mom and i,compare hands,5,3,3,moon
18185,summer's end,a dog-chewed stick,by the edge of the pond,3,3,6,summer
18185,summer's end,a dog-chewed stick,by the edge of the pond,3,3,6,end
18187,bottlebrush in bloom,there was a time in my life,when i wore red,5,7,4,time
18188,breathless quiet,of a summer evening . . .,ship in a bottle,4,6,5,summer
18188,breathless quiet,of a summer evening . . .,ship in a bottle,4,6,5,evening
18192,never more open,the precision,of a water lily,5,4,6,water
18194,sunset stretched shadows,a strawberry seller holds out,the day's last box,5,8,4,sunset
18194,sunset stretched shadows,a strawberry seller holds out,the day's last box,5,8,4,day
18196,summer solstice,the old canal lock,cranked wide open,4,5,4,summer
18198,bullfrog moon,silence goes,where the heron goes,3,3,5,moon
18198,bullfrog moon,silence goes,where the heron goes,3,3,5,silence
18201,teashop table . . .,i watch rain drops,pop on the road,4,4,4,rain
18204,sound of a car,hitting the manhole,all-day drizzle,4,5,3,sound
18205,believing,she loves me . . .,the blue of the sky,3,3,5,blue
18205,believing,she loves me . . .,the blue of the sky,3,3,5,sky
18211,dry season ends,the scent of wet earth,saturates me,4,5,4,scent
18212,class on the quad,my eyes drift,to the afternoon moon,4,3,6,afternoon
18212,class on the quad,my eyes drift,to the afternoon moon,4,3,6,moon
18215,childhood home . . .,my climbing tree's,phantom limbs,3,4,3,home
18215,childhood home . . .,my climbing tree's,phantom limbs,3,4,3,tree
18216,spring morning,i decline the offer,of a draw,3,6,3,spring
18216,spring morning,i decline the offer,of a draw,3,6,3,morning
18216,spring morning,i decline the offer,of a draw,4,6,3,spring
18216,spring morning,i decline the offer,of a draw,4,6,3,morning
18220,getting acquainted,some wild mint,in the garden,5,3,4,garden
18222,how to dress her,for eternity,blossom rain,4,5,3,rain
18225,bend in the river,swans introduce their young,to the flock,5,6,3,river
18228,each streetlight,with its own rain,click of mah-jong tiles,3,4,4,rain
18229,the first night,the bright star's,below the horizon,3,3,6,night
18230,news of her death,on the night table,the book unsigned,4,5,4,night
18234,softly at first,on a swollen wind,voices in the rain,4,5,5,wind
18234,softly at first,on a swollen wind,voices in the rain,4,5,5,rain
18235,harp music . . .,wild pear blossoms,in the teacher's window,3,4,6,window
18237,twilight beach,a full moon rises from,the darkening sea,3,6,4,moon
18237,twilight beach,a full moon rises from,the darkening sea,3,6,5,moon
18238,late summer,one floating leaf,already red,3,4,4,summer
18238,late summer,one floating leaf,already red,3,4,4,leaf
18239,late summer clouds,a light breeze rustles,white hydrangea,4,5,5,summer
18239,late summer clouds,a light breeze rustles,white hydrangea,4,5,5,breeze
18242,gray summer sky,seed-beads sparkle,on a blue silk thread,4,3,5,summer
18242,gray summer sky,seed-beads sparkle,on a blue silk thread,4,3,5,sky
18247,this lambent light,over autumn fields,southbound geese,4,5,3,light
18247,this lambent light,over autumn fields,southbound geese,4,5,3,autumn
18248,"morning glories,","butterflies,",were they not right here?,4,3,5,morning
18252,a beach dune,drops a little sand . . .,the autumn stars,3,5,4,autumn
18255,the poet,sings a new song,sound of rain,3,4,3,song
18255,the poet,sings a new song,sound of rain,3,4,3,sound
18255,the poet,sings a new song,sound of rain,3,4,3,rain
18257,"shore for the poet,","shore for the poet's work,",water lily fragrance,5,6,6,water
18261,autumn moon,turtle crawls,in the sand,3,3,3,autumn
18261,autumn moon,turtle crawls,in the sand,3,3,3,moon
18263,summer clouds . . .,the steps to the lighthouse,are painted blue,3,6,4,summer
18264,sweet magnolia,spanish moss leans,with the breeze,4,4,3,breeze
18266,new coolness,the old dog stays,closer to home,3,4,4,dog
18266,new coolness,the old dog stays,closer to home,3,4,4,home
18268,seventh-inning stretch,a foam finger pointing,at the autumn moon,3,6,5,autumn
18268,seventh-inning stretch,a foam finger pointing,at the autumn moon,3,6,5,moon
18270,gray morning,the concrete business,of pigeons,3,5,3,morning
18271,rocking chairs,chained to the porch,leaves in the wind,3,4,4,wind
18273,autumn wind,the leaves too,made of oak,3,3,3,autumn
18273,autumn wind,the leaves too,made of oak,3,3,3,wind
18274,all hallow's eve,moss-draped hemlocks,fade into night,4,3,4,night
18276,longest day,dipping cornbread,in buttermilk,3,4,4,day
18279,withering heat,on the shed's tin roof,green black walnuts,4,5,4,heat
18281,summer rain,waking to find the tent the size,of a mosquito,3,8,5,summer
18281,summer rain,waking to find the tent the size,of a mosquito,3,8,5,rain
18284,summer's end,the wisteria,doubles back,3,5,3,summer
18284,summer's end,the wisteria,doubles back,3,5,3,end
18286,opening day,for sidewalk dining,a waitress pulls weeds,4,5,5,day
18288,up the mountain,the dog brings,his own ball,4,3,3,dog
18290,river narrows,the pitched call,of an osprey,4,3,4,river
18295,damp spring evening;,body smells,of the home-coming dog,4,3,4,spring
18295,damp spring evening;,body smells,of the home-coming dog,4,3,4,evening
18295,damp spring evening;,body smells,of the home-coming dog,4,3,4,dog
18295,damp spring evening;,body smells,of the home-coming dog,5,3,4,spring
18295,damp spring evening;,body smells,of the home-coming dog,5,3,4,evening
18295,damp spring evening;,body smells,of the home-coming dog,5,3,4,dog
18296,unmarked graves,the wind holds,a hint of sea,3,3,4,wind
18304,swollen river,a jacaranda bud,in the child's palm,4,6,4,river
18304,swollen river,a jacaranda bud,in the child's palm,4,6,4,child
18307,what she said,driving home,the sound of blinkers,3,3,5,home
18307,what she said,driving home,the sound of blinkers,3,3,5,sound
18310,freezing rain . . .,the one who took,the placebo,3,4,4,rain
18313,january,the wind ruffles,walking crows,4,4,3,wind
18314,night crossing,salt spray rises,up through the anchor hole,3,4,6,night
18315,taking his leave,in a winter dream,my oldest friend,4,5,4,winter
18316,fall morning,men move lumber,from pile to pile,3,4,4,morning
18317,moonless night,the wet trash bags,reflect the stars,3,4,4,night
18319,late afternoon,liquidamber leaves,in the hamper,4,5,4,afternoon
18320,sunlit moon,the whiskey shines,between sips,3,4,3,moon
18321,autumn equinox,salamanders cross the road,from both sides,5,7,3,autumn
18322,cicada husk,on the campus sidewalk,sound of the fountain,4,6,5,sound
18323,a marsh harrier,slow over reed plumes,indian summer,5,5,5,summer
18324,the blues song,in another chord,autumn deepens,3,5,4,song
18324,the blues song,in another chord,autumn deepens,3,5,4,autumn
18328,releasing,the day's only catch,summer slips away,3,5,5,day
18328,releasing,the day's only catch,summer slips away,3,5,5,summer
18329,autumn afternoon,in the cemetery,every bench taken,5,6,5,autumn
18329,autumn afternoon,in the cemetery,every bench taken,5,6,5,afternoon
18329,autumn afternoon,in the cemetery,every bench taken,5,6,6,autumn
18329,autumn afternoon,in the cemetery,every bench taken,5,6,6,afternoon
18330,river washed stones,remembering a woman,who knew how to love,4,6,5,river
